id,reactants>reagents>production
US04381297,C[O:26][C:24]([CH2:23][P:4]([O:3][CH2:1][CH3:2])(=[O:5])[CH:6]([CH2:7][C:8]([CH2:9][CH2:10][CH2:11][CH2:12][CH3:13])=[O:14])[CH2:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)=[O:25]>>[CH2:1]([CH3:2])[O:3][P:4](=[O:5])([CH:6]([CH2:7][C:8]([CH2:9][CH2:10][CH2:11][CH2:12][CH3:13])=[O:14])[CH2:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[CH2:23][C:24](=[O:25])[OH:26]
US08735584B2,F[c:2]1[cH:3][c:4]2[c:5]([c:6](=[O:14])[nH:7][c:8]3[n:9][cH:10][cH:11][cH:12][c:13]23)[cH:15][cH:16]1.CO[c:19]1[cH:20][c:21]([OH:25])[cH:22][cH:23][cH:24]1.C[N:33](C=O)[CH3:32]>>[c:2]1([O:25][c:21]2[cH:20][cH:19][c:24]([C:32]#[N:33])[cH:23][cH:22]2)[cH:3][c:4]2[c:5]([c:6](=[O:14])[nH:7][c:8]3[n:9][cH:10][cH:11][cH:12][c:13]23)[cH:15][cH:16]1
US05041679,C[CH:8]([CH2:7][CH:2](O)[CH2:3][C:4]([CH3:5])=[O:6])[S:10][c:11]1[cH:12][cH:13][c:14]([CH3:17])[cH:15][cH:16]1>>[CH:2](=[CH:3][C:4]([CH3:5])=[O:6])[CH2:7][CH2:8][S:10][c:11]1[cH:12][cH:13][c:14]([CH3:17])[cH:15][cH:16]1
US08039490B2,[F:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[CH:8]2[CH2:9][CH2:10][NH:11][CH2:12][CH2:13]2)[cH:14][cH:15]1.O=[CH:17][CH2:18][C@@H:19]1[CH2:20][CH2:21][C@@H:22]([NH:25][C:26](=[O:27])[c:28]2[cH:29][cH:30][n:31][c:32]3[cH:33][cH:34][cH:35][cH:36][c:37]23)[CH2:23][CH2:24]1>>[F:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[CH:8]2[CH2:9][CH2:10][N:11]([CH2:17][CH2:18][C@@H:19]3[CH2:20][CH2:21][C@@H:22]([NH:25][C:26](=[O:27])[c:28]4[cH:29][cH:30][n:31][c:32]5[cH:33][cH:34][cH:35][cH:36][c:37]45)[CH2:23][CH2:24]3)[CH2:12][CH2:13]2)[cH:14][cH:15]1
US08785460B2,Br[Mg][CH2:1][CH3:2].CO[C:30]([c:9]1[cH:8][cH:7][c:6]([Cl:5])[c:14]2[c:10]1[n:11]1[c:12]([n:13]2)[N:15]([c:19]2[c:20]([C:26]([F:27])([F:28])[F:29])[cH:21][c:22]([Cl:25])[cH:23][cH:24]2)[CH2:16][CH2:17][CH2:18]1)=[O:31].C1C[CH2:36][CH2:35]O1>>[CH2:1]([CH3:2])[C:30]([c:9]1[cH:8][cH:7][c:6]([Cl:5])[c:14]2[c:10]1[n:11]1[c:12]([n:13]2)[N:15]([c:19]2[c:20]([C:26]([F:27])([F:28])[F:29])[cH:21][c:22]([Cl:25])[cH:23][cH:24]2)[CH2:16][CH2:17][CH2:18]1)([OH:31])[CH2:35][CH3:36]
US04268510,Cl[C:12]([c:9]1[cH:8][c:7]2[c:6]([cH:11][cH:10]1)[O:5][CH:4]([C:15]([Cl:16])([Cl:17])[Cl:18])[NH:3][C:2]2=[O:1])=[O:13].[CH2:19]([CH2:20][CH3:21])[NH2:22]>>[O:1]=[C:2]1[NH:3][CH:4]([C:15]([Cl:16])([Cl:17])[Cl:18])[O:5][c:6]2[c:7]1[cH:8][c:9]([C:12](=[O:13])[NH:22][CH2:19][CH2:20][CH3:21])[cH:10][cH:11]2
US04888357,O[NH2:2].CCO[CH:14]=[C:8]([C:7]([CH:4]1[CH2:5][CH2:6]1)=[O:18])[C:9](=[O:10])[O:11][CH2:12][CH3:13]>>[n:2]1[cH:14][c:8]([C:9](=[O:10])[O:11][CH2:12][CH3:13])[c:7]([CH:4]2[CH2:5][CH2:6]2)[o:18]1
US08815874B2,O[c:2]1[c:3]([C:11](=[O:12])[O:13][CH2:14][CH3:15])[cH:4][n:5][c:6]2[n:7]1[n:8][cH:9][cH:10]2.[Cl:16][c:17]1[c:18]([NH2:19])[cH:20][c:21]([CH3:24])[cH:22][cH:23]1>>[c:2]1([NH:19][c:18]2[c:17]([Cl:16])[cH:23][cH:22][c:21]([CH3:24])[cH:20]2)[c:3]([C:11](=[O:12])[O:13][CH2:14][CH3:15])[cH:4][n:5][c:6]2[n:7]1[n:8][cH:9][cH:10]2
US07285569B2,[CH3:1][C:2]1([CH3:15])[C:3](=[O:14])[NH:4][c:5]2[cH:6][c:7]([N+:11](=[O:12])[O-:13])[cH:8][cH:9][c:10]21.Br[CH2:19][CH3:20]>>[CH3:1][C:2]1([CH3:15])[C:3](=[O:14])[N:4]([CH2:19][CH3:20])[c:5]2[cH:6][c:7]([N+:11](=[O:12])[O-:13])[cH:8][cH:9][c:10]21
US07504508B2,[NH2:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[N:9]2[C@@H:10]([CH3:30])[CH2:11][C@@H:12]([N:19]([C:20]([CH3:21])=[O:22])[c:23]3[cH:24][cH:25][c:26]([Cl:29])[cH:27][cH:28]3)[c:13]3[cH:14][cH:15][cH:16][cH:17][c:18]32)[cH:31][cH:32]1>>[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[N:9]2[C@@H:10]([CH3:30])[CH2:11][C@@H:12]([N:19]([C:20]([CH3:21])=[O:22])[c:23]3[cH:24][cH:25][c:26]([Cl:29])[cH:27][cH:28]3)[c:13]3[cH:14][cH:15][cH:16][cH:17][c:18]32)[cH:31][cH:32]1
US09394263B2,Br[CH2:8][c:9]1[c:10]([C:26]#[N:27])[n:11](-[c:18]2[c:19]([C:24]#[N:25])[cH:20][cH:21][cH:22][cH:23]2)[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12.[CH3:28][N:29]([C:30]([O:31][C:32]([CH3:33])([CH3:34])[CH3:35])=[O:36])[C@H:37]([C:38]([NH:39][C@@H:40]1[C:41](=[O:56])[NH:42][c:43]2[c:44]([cH:52][cH:53][cH:54][cH:55]2)[O:45][C:46]12[CH2:47][CH2:48][O:49][CH2:50][CH2:51]2)=[O:57])[CH3:58]>>[CH2:8]([c:9]1[c:10]([C:26]#[N:27])[n:11](-[c:18]2[c:19]([C:24]#[N:25])[cH:20][cH:21][cH:22][cH:23]2)[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12)[N:42]1[C:41](=[O:56])[C@@H:40]([NH:39][C:38]([C@@H:37]([N:29]([CH3:28])[C:30]([O:31][C:32]([CH3:33])([CH3:34])[CH3:35])=[O:36])[CH3:58])=[O:57])[C:46]2([O:45][c:44]3[c:43]1[cH:55][cH:54][cH:53][cH:52]3)[CH2:47][CH2:48][O:49][CH2:50][CH2:51]2
US06528525B1,[CH3:1][O:2][C:3]([C@@H:4]([NH:5][C:6](=[O:7])[O:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH2:16][c:17]1[cH:18][cH:19][c:20]([OH:23])[cH:21][cH:22]1)=[O:24].CS(=O)(=O)O[CH2:30][CH2:31][NH:32][C:33]([O:34][C:35]([CH3:36])([CH3:37])[CH3:38])=[O:39]>>[CH3:1][O:2][C:3]([C@@H:4]([NH:5][C:6](=[O:7])[O:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH2:16][c:17]1[cH:18][cH:19][c:20]([O:23][CH2:30][CH2:31][NH:32][C:33]([O:34][C:35]([CH3:36])([CH3:37])[CH3:38])=[O:39])[cH:21][cH:22]1)=[O:24]
US04916148,[CH3:1][C:2]1([CH3:24])[c:3]2[c:4]([cH:8][cH:9][c:10]3[cH:11][c:12]([C:22]#[N:23])[c:13]([CH2:16][n:17]4[n:18][cH:19][n:20][cH:21]4)[cH:14][c:15]23)[O:5][C:6]1=[O:7].O=S(=O)(O)[OH:26]>>[CH3:1][C:2]1([CH3:24])[c:3]2[c:4]([cH:8][cH:9][c:10]3[cH:11][c:12]([C:22]([NH2:23])=[O:26])[c:13]([CH2:16][n:17]4[n:18][cH:19][n:20][cH:21]4)[cH:14][c:15]23)[O:5][C:6]1=[O:7]
US05726194,[NH2:1][c:2]1[cH:3][cH:4][c:5]([S:8](=[O:9])(=[O:10])[NH:11][c:12]2[cH:13][c:14]3[c:15]([n:16][s:17][n:18]3)[cH:19][cH:20]2)[cH:6][cH:7]1.O=[CH:21][CH3:22]>>[NH:1]([c:2]1[cH:3][cH:4][c:5]([S:8](=[O:9])(=[O:10])[NH:11][c:12]2[cH:13][c:14]3[c:15]([n:16][s:17][n:18]3)[cH:19][cH:20]2)[cH:6][cH:7]1)[CH2:21][CH3:22]
US05891882,O=[c:10]1[cH:9][cH:8][c:7]2[cH:6][cH:5][cH:4][c:3]([O:2][CH3:1])[c:12]2[o:11]1.CO[CH2:16][N:17](Cc1ccccc1)[CH2:18][Si](C)(C)C>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]2[c:12]1[O:11][CH2:10][C@@H:9]1[C@H:8]2[CH2:18][NH:17][CH2:16]1
US05616586,O[C:18]([CH2:17][CH:14]1[n:6]2[c:5]3[c:4]([cH:3][c:2]([Br:1])[cH:11][c:10]3[nH:9][c:8](=[O:12])[c:7]2=[O:13])[CH2:16][CH2:15]1)=[O:19].[CH3:21][O:22][C:23](=[O:24])[CH2:25][c:26]1[c:27]([NH2:28])[cH:29][cH:30][cH:31][cH:32]1>>[Br:1][c:2]1[cH:3][c:4]2[c:5]3[n:6]([c:7](=[O:13])[c:8](=[O:12])[nH:9][c:10]3[cH:11]1)[CH:14]([CH2:17][C:18](=[O:19])[NH:28][c:27]1[c:26]([CH2:25][C:23]([O:22][CH3:21])=[O:24])[cH:32][cH:31][cH:30][cH:29]1)[CH2:15][CH2:16]2
US09434690B2,[Br:1][c:2]1[cH:3][c:4](=[O:8])[nH:5][cH:6][cH:7]1.Br[CH:10]([C:11](=[O:12])[O:13][CH2:14][CH3:15])[CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[Br:1][c:2]1[cH:3][c:4](=[O:8])[n:5]([CH:10]([C:11](=[O:12])[O:13][CH2:14][CH3:15])[CH2:16][c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[cH:6][cH:7]1
US07163936B2,[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:8][C:9](=[O:10])[NH:11][C@@H:12]([CH2:13][CH2:14][C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22][OH:23].I[CH3:24]>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:8][C:9](=[O:10])[NH:11][C@@H:12]([CH2:13][CH2:14][C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22][O:23][CH3:24]
US08030354B2,O=[CH:4][c:3]1[c:2]([F:1])[c:9]([O:10][CH3:11])[cH:8][cH:7][cH:6]1.[CH3:12][C:13]1([CH3:21])[O:14][C:15](=[O:20])[CH2:16][C:17](=[O:19])[O:18]1>>[F:1][c:2]1[c:3]([CH:4]=[C:16]2[C:15](=[O:20])[O:14][C:13]([CH3:12])([CH3:21])[O:18][C:17]2=[O:19])[cH:6][cH:7][cH:8][c:9]1[O:10][CH3:11]
US08846698B2,C1CCC([O:22][CH2:21][C:20]([n:8]2[c:6]3[c:5]([cH:4][n:3][c:2]([NH2:1])[n:7]3)[c:10]([C:11](=[O:12])[c:13]3[cH:14][n:15][cH:16][c:17]([NH2:19])[cH:18]3)[cH:9]2)([CH3:29])[CH3:30])OC1.O[C:40]([CH2:39][n:37]1[n:36][cH:35][c:34]([CH:31]2[CH2:32][CH2:33]2)[cH:38]1)=[O:41]>>[NH2:1][c:2]1[n:3][cH:4][c:5]2[c:6]([n:7]1)[n:8]([C:20]([CH2:21][OH:22])([CH3:29])[CH3:30])[cH:9][c:10]2[C:11](=[O:12])[c:13]1[cH:14][n:15][cH:16][c:17]([NH:19][C:40]([CH2:39][n:37]2[n:36][cH:35][c:34]([CH:31]3[CH2:32][CH2:33]3)[cH:38]2)=[O:41])[cH:18]1
US06838454B2,CC(C)(C)[O:5][C:6](=[O:7])[CH:8]1[N:9]([S:16](=[O:17])(=[O:18])[c:19]2[cH:20][cH:21][c:22]([O:25][CH3:26])[cH:23][cH:24]2)[CH2:10][CH:11]=[CH:12][CH2:13][CH:14]1[NH2:15].[CH2:27]([c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1)[N:34]=[C:35]=[O:36]>>[OH:5][C:6](=[O:7])[CH:8]1[N:9]([S:16](=[O:17])(=[O:18])[c:19]2[cH:20][cH:21][c:22]([O:25][CH3:26])[cH:23][cH:24]2)[CH2:10][CH:11]=[CH:12][CH2:13][CH:14]1[NH:15][C:35]([NH:34][CH2:27][c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1)=[O:36]
US08309734B2,O=[C:9]([c:8]1[c:7]([O:6][c:5]2[cH:4][c:3]([C:2]([F:1])([F:19])[F:20])[cH:18][cH:17][cH:16]2)[n:15][cH:14][cH:13][cH:12]1)[OH:11].[CH3:21][c:22]1[cH:23][c:24]2[c:29]([cH:30][cH:31]1)[NH:28][CH2:27][CH2:26][CH2:25]2>>[F:1][C:2]([c:3]1[cH:4][c:5]([O:6][c:7]2[c:8]([C:9](=[O:11])[N:28]3[CH2:27][CH2:26][CH2:25][c:24]4[cH:23][c:22]([CH3:21])[cH:31][cH:30][c:29]43)[cH:12][cH:13][cH:14][n:15]2)[cH:16][cH:17][cH:18]1)([F:19])[F:20]
US04730006,[CH:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)=[N:8][C:9]([C:10](=[O:11])[O:12][CH2:13][CH3:14])=[CH:15][CH2:16][CH2:17][CH3:18].ClC(c1ccccc1)=[O:34]>>[C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)([NH:8][C:9]([C:10](=[O:11])[O:12][CH2:13][CH3:14])=[CH:15][CH2:16][CH2:17][CH3:18])=[O:34]
US04112095,Cl[c:2]1[n:3][n:4][c:5](-[c:8]2[cH:9][c:10]([CH3:14])[cH:11][cH:12][cH:13]2)[cH:6][cH:7]1.O=[C:15]([CH3:16])[NH:18][NH2:19]>>[c:2]12[n:3]([n:4][c:5](-[c:8]3[cH:9][c:10]([CH3:14])[cH:11][cH:12][cH:13]3)[cH:6][cH:7]1)[c:15]([CH3:16])[n:18][n:19]2
US07572801B2,O=[C:4]([c:3]1[c:2]([Cl:1])[n:10][cH:9][c:8]([Cl:11])[cH:7]1)[OH:6].[cH:13]1[c:14]([CH2:23][CH2:24][O:25][CH2:26][C:27](=[NH:28])[NH2:29])[cH:15][cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]12>>[Cl:1][c:2]1[c:3]([C:4](=[O:6])[NH:29][C:27]([CH2:26][O:25][CH2:24][CH2:23][c:14]2[cH:13][c:22]3[c:17]([cH:16][cH:15]2)[cH:18][cH:19][cH:20][cH:21]3)=[NH:28])[cH:7][c:8]([Cl:11])[cH:9][n:10]1
US07846929B2,Cl[c:2]1[n:3][c:4]([N:12]2[CH2:13][CH2:14][O:15][CH2:16][CH2:17]2)[c:5]2[c:6]([n:7]1)[cH:8][c:9](I)[s:10]2.OB(O)[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1.CC1(C)OB([c:35]2[cH:36][c:37]3[c:38]([n:39][cH:40]2)[nH:41][cH:42][cH:43]3)OC1(C)C>>[c:2]1(-[c:35]2[cH:36][c:37]3[c:38]([n:39][cH:40]2)[nH:41][cH:42][cH:43]3)[n:3][c:4]([N:12]2[CH2:13][CH2:14][O:15][CH2:16][CH2:17]2)[c:5]2[c:6]([n:7]1)[cH:8][c:9](-[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[s:10]2
US07557213B2,CON(C)[C:4](=[O:5])[c:6]1[cH:7][n:8]([CH2:21][c:22]2[n:23][c:24]([Br:28])[cH:25][cH:26][cH:27]2)[c:9]2[n:10][c:11]([C:17]([F:18])([F:19])[F:20])[cH:12][cH:13][c:14]2[c:15]1=[O:16].Cl[Mg][c:33]1[cH:32][c:31]([F:30])[c:36]([O:37][CH3:38])[cH:35][cH:34]1>>[C:4](=[O:5])([c:6]1[cH:7][n:8]([CH2:21][c:22]2[n:23][c:24]([Br:28])[cH:25][cH:26][cH:27]2)[c:9]2[n:10][c:11]([C:17]([F:18])([F:19])[F:20])[cH:12][cH:13][c:14]2[c:15]1=[O:16])[c:33]1[cH:32][c:31]([F:30])[c:36]([O:37][CH3:38])[cH:35][cH:34]1
US08034812B2,[OH:1][c:2]1[n:3][n:4]([CH3:11])[c:5]([C:7](=[O:8])[O:9][CH3:10])[cH:6]1.O=[C:14]([O-])[O-]>>[O:1]([c:2]1[n:3][n:4]([CH3:11])[c:5]([C:7](=[O:8])[O:9][CH3:10])[cH:6]1)[CH3:14]
US05994378,[OH:1][c:2]1[c:3]([CH:4]=[O:5])[cH:6][cH:7][cH:8][c:9]1[O:10][CH3:11].Br[CH:13]([C:14](=[O:15])[O:16][CH2:17][CH3:18])[CH3:19]>>[O:1]([c:2]1[c:3]([CH:4]=[O:5])[cH:6][cH:7][cH:8][c:9]1[O:10][CH3:11])[CH:13]([C:14](=[O:15])[O:16][CH2:17][CH3:18])[CH3:19]
US08697685B2,O=[C:20]([CH:16]1[CH2:15][N:14]([CH2:13][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[CH2:19][CH2:18][O:17]1)[OH:22].[NH2:35][CH2:36][C:37](=[O:38])[c:39]1[cH:40][cH:41][c:42]([O:45][CH3:46])[cH:43][cH:44]1>>[c:7]1([CH2:13][N:14]2[CH2:15][CH:16]([C:20](=[O:22])[NH:35][CH2:36][C:37](=[O:38])[c:39]3[cH:40][cH:41][c:42]([O:45][CH3:46])[cH:43][cH:44]3)[O:17][CH2:18][CH2:19]2)[cH:8][cH:9][cH:10][cH:11][cH:12]1
US06787561B1,Cc1ccc(S(=O)(=O)O[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][O:17][c:18]2[n:19][c:20]3[c:21]([n:22]2[C:23](=[CH2:24])[CH3:25])[cH:26][cH:27][cH:28][cH:29]3)cc1.[SH:30][c:31]1[nH:32][c:33]2[c:34]([n:35]1)[cH:36][cH:37][cH:38][cH:39]2>>[CH2:12]([CH2:13][CH2:14][CH2:15][CH2:16][O:17][c:18]1[n:19][c:20]2[c:21]([n:22]1[C:23](=[CH2:24])[CH3:25])[cH:26][cH:27][cH:28][cH:29]2)[S:30][c:31]1[n:32][c:33]2[c:34]([nH:35]1)[cH:36][cH:37][cH:38][cH:39]2
US05990102,Br[CH2:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]=[CH2:12])[cH:13][cH:14]1.[C:15]([CH3:16])(=[S:17])[O-:18]>>[CH2:2]([c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]=[CH2:12])[cH:13][cH:14]1)[S:17][C:15]([CH3:16])=[O:18]
US08133695B2,Br[CH2:11][CH2:12][O:13][CH2:14][CH2:15][NH:16][C:17]([O:18][C:19]([CH3:20])([CH3:21])[CH3:22])=[O:23].[O:25]=[C:26]1[CH2:27][C:28]2([CH2:29][CH2:30][NH:31][CH2:32][CH2:33]2)[O:34][c:35]2[cH:36][cH:37][c:38]([NH:41][S:42](=[O:43])(=[O:44])[CH3:45])[cH:39][c:40]21>>[CH2:11]([CH2:12][O:13][CH2:14][CH2:15][NH:16][C:17]([O:18][C:19]([CH3:20])([CH3:21])[CH3:22])=[O:23])[N:31]1[CH2:30][CH2:29][C:28]2([CH2:27][C:26](=[O:25])[c:40]3[c:35]([cH:36][cH:37][c:38]([NH:41][S:42](=[O:43])(=[O:44])[CH3:45])[cH:39]3)[O:34]2)[CH2:33][CH2:32]1
US07405209B2,[CH3:1][CH:2]([C@@H:3]([C:4]([NH:5][CH:6]1[CH:7]([OH:22])[CH2:8][N:9]([S:13](=[O:14])(=[O:15])[c:16]2[n:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:10][CH2:11][CH2:12]1)=[O:23])[NH:24][C:25](=[O:26])[c:27]1[o:28][c:29]2[c:30]([cH:31]1)[cH:32][cH:33][cH:34][cH:35]2)[CH2:36][CH3:37]>>[CH3:1][CH:2]([C@@H:3]([C:4]([NH:5][CH:6]1[C:7](=[O:22])[CH2:8][N:9]([S:13](=[O:14])(=[O:15])[c:16]2[n:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:10][CH2:11][CH2:12]1)=[O:23])[NH:24][C:25](=[O:26])[c:27]1[o:28][c:29]2[c:30]([cH:31]1)[cH:32][cH:33][cH:34][cH:35]2)[CH2:36][CH3:37]
US05466697,[Cl:1][c:2]1[cH:3][c:4](-[c:8]2[cH:9][nH:10][c:11](=[O:18])[c:12]3[cH:13][cH:14][cH:15][n:16][c:17]23)[cH:5][cH:6][cH:7]1.I[CH:26]([CH3:27])[CH3:28]>>[Cl:1][c:2]1[cH:3][c:4](-[c:8]2[cH:9][n:10]([CH:26]([CH3:27])[CH3:28])[c:11](=[O:18])[c:12]3[cH:13][cH:14][cH:15][n:16][c:17]23)[cH:5][cH:6][cH:7]1
US08198442B2,CCCCN(CCCC)[CH2:1]CCC.[NH2:19][c:20]1[c:21]([Cl:32])[c:22]([C:29](=[O:30])[OH:31])[n:23][c:24]([CH:26]2[CH2:27][CH2:28]2)[n:25]1>>[CH3:1][O:31][C:29]([c:22]1[c:21]([Cl:32])[c:20]([NH2:19])[n:25][c:24]([CH:26]2[CH2:27][CH2:28]2)[n:23]1)=[O:30]
US06821967B2,Br[CH2:22][CH2:21][CH2:20][CH2:19][C:6]1([C:4]([NH:3][CH2:1][CH3:2])=[O:5])[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2-[c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]21.[N:24]1([c:30]2[n:31][c:32]3[cH:33][cH:34][cH:35][cH:36][c:37]3[cH:38][cH:39]2)[CH2:25][CH2:26][NH:27][CH2:28][CH2:29]1>>[CH2:1]([CH3:2])[NH:3][C:4](=[O:5])[C:6]1([CH2:19][CH2:20][CH2:21][CH2:22][N:27]2[CH2:26][CH2:25][N:24]([c:30]3[n:31][c:32]4[cH:33][cH:34][cH:35][cH:36][c:37]4[cH:38][cH:39]3)[CH2:29][CH2:28]2)[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2-[c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]21
US07112593B2,I[c:13]1[c:8]([CH2:1][c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[n:9][c:10]([N:15]2[CH2:16][C@@H:17]([OH:22])[C@H:18]([O:20][CH3:21])[CH2:19]2)[cH:11][cH:12]1.[CH2:23]([CH3:24])[C:25]([C:26]#[CH:27])([CH2:28][CH3:29])[NH2:30]>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[c:8]1[n:9][c:10]([N:15]2[CH2:16][C@@H:17]([OH:22])[C@H:18]([O:20][CH3:21])[CH2:19]2)[cH:11][cH:12][c:13]1[C:24]#[C:23][C:25]([CH2:26][CH3:27])([CH2:28][CH3:29])[NH2:30]
US06916921B2,O=[CH:13][C@H:12]([C@H:11]1[CH2:10][CH:9]=[C:8]2[C:7]3=[C:19]([CH2:18][CH2:17][C@@:16]21[CH3:24])[C@:20]1([CH3:23])[CH:4]([C:3]([CH3:25])([CH3:26])[C@@H:2]([OH:1])[CH2:22][CH2:21]1)[CH2:5][CH2:6]3)[CH3:15].[c:27]1([N:33]2[CH2:34][CH2:35][NH:36][CH2:37][CH2:38]2)[cH:28][cH:29][cH:30][cH:31][cH:32]1>>[OH:1][C@@H:2]1[C:3]([CH3:25])([CH3:26])[C@@H:4]2[CH2:5][CH2:6][C:7]3=[C:19]([CH2:18][CH2:17][C@@:16]4([CH3:24])[C:8]3=[CH:9][CH2:10][C@@H:11]4[C@H:12]([CH3:13])[CH2:15][N:36]3[CH2:35][CH2:34][N:33]([c:27]4[cH:28][cH:29][cH:30][cH:31][cH:32]4)[CH2:38][CH2:37]3)[C@@:20]2([CH3:23])[CH2:21][CH2:22]1
US08470823B2,C[O:9][C:7](=O)[CH:3]1[CH2:2][N:1]([C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[CH2:6][CH2:5][NH:4]1.[c:18]1([C@H:24]2[C@H:25]([N:27]=[C:28]=[O:29])[CH2:26]2)[cH:19][cH:20][cH:21][cH:22][cH:23]1>>[N:1]1([C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[CH2:2][CH:3]2[N:4]([CH2:5][CH2:6]1)[C:28](=[O:29])[N:27]([C@H:25]1[C@H:24]([c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[CH2:26]1)[C:7]2=[O:9]
US08383659B2,CC[O:5][C:6](=[O:7])[c:8]1[s:9][c:10]([C:14]2=[N:15][O:16][C:17]([C:19]([F:20])([F:21])[F:22])([c:23]3[cH:24][c:25]([Cl:30])[cH:26][c:27]([Cl:29])[cH:28]3)[CH2:18]2)[cH:11][c:12]1[CH3:13]>>[O:5]=[C:6]([OH:7])[c:8]1[s:9][c:10]([C:14]2=[N:15][O:16][C:17]([C:19]([F:20])([F:21])[F:22])([c:23]3[cH:24][c:25]([Cl:30])[cH:26][c:27]([Cl:29])[cH:28]3)[CH2:18]2)[cH:11][c:12]1[CH3:13]
US08088760B2,O=[C:18]([c:14]1[c:12]2[c:11]([o:10][c:9](-[c:6]3[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:8][cH:7]3)[n:13]2)[cH:17][cH:16][cH:15]1)[O-:20].[NH4+:22]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:9]2[o:10][c:11]3[c:12]([n:13]2)[c:14]([C:18](=[O:20])[NH2:22])[cH:15][cH:16][cH:17]3)[cH:7][cH:8]1
US05395843,CC[O:17][C:15](=O)[CH2:14][CH2:13][N:12]([C:10]([CH2:9][c:4]1[cH:3][c:2]([Cl:1])[c:7]([Cl:8])[cH:6][cH:5]1)=[O:11])[C@H:20]([CH2:21][N:22]1[CH2:23][CH2:24][CH2:25][CH2:26]1)[c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1>>[Cl:1][c:2]1[cH:3][c:4]([CH:9]2[C:10](=[O:11])[N:12]([C@H:20]([CH2:21][N:22]3[CH2:23][CH2:24][CH2:25][CH2:26]3)[c:27]3[cH:28][cH:29][cH:30][cH:31][cH:32]3)[CH2:13][CH2:14][C:15]2=[O:17])[cH:5][cH:6][c:7]1[Cl:8]
US09079853B2,CCN1C(=O)C(O[C:1]([c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)=[O:8])c2cc(C)ccc21.[CH2:23]([CH:24]([CH3:25])[CH3:26])[N:27]1[C:28](=[O:37])[C:29](=[O:36])[c:30]2[cH:31][cH:32][cH:33][cH:34][c:35]21>>[C:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)(=[O:8])[O:36][CH:29]1[C:28](=[O:37])[N:27]([CH2:23][CH:24]([CH3:25])[CH3:26])[c:35]2[c:30]1[cH:31][cH:32][cH:33][cH:34]2
